"Ctry_code"|"reg_code"|"reg_tl3"|"reg_tl3_label"
"US"|"US20117"|"US167"|"Topeka - Ks"
"US"|"US20119"|"US119"|"Oklahoma City-Shawnee - Ok"
"US"|"US20121"|"US084"|"Kansas City-Overland Park-Kansas City - Mo-Ks"
"US"|"US20123"|"US141"|"Salina - Ks"
"US"|"US20125"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20127"|"US167"|"Topeka - Ks"
"US"|"US20129"|"US119"|"Oklahoma City-Shawnee - Ok"
"US"|"US20131"|"US167"|"Topeka - Ks"
"US"|"US20133"|"US083"|"Joplin - Mo"
"US"|"US20135"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20137"|"US141"|"Salina - Ks"
"US"|"US20139"|"US167"|"Topeka - Ks"
"US"|"US20141"|"US141"|"Salina - Ks"
"US"|"US20143"|"US141"|"Salina - Ks"
"US"|"US20145"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20147"|"US141"|"Salina - Ks"
"US"|"US20149"|"US167"|"Topeka - Ks"
"US"|"US20151"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20153"|"US141"|"Salina - Ks"
"US"|"US20155"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20157"|"US141"|"Salina - Ks"
"US"|"US20159"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20161"|"US167"|"Topeka - Ks"
"US"|"US20163"|"US141"|"Salina - Ks"
"US"|"US20165"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20167"|"US141"|"Salina - Ks"
"US"|"US20169"|"US141"|"Salina - Ks"
"US"|"US20171"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20173"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20175"|"US119"|"Oklahoma City-Shawnee - Ok"
"US"|"US20177"|"US167"|"Topeka - Ks"
"US"|"US20179"|"US141"|"Salina - Ks"
"US"|"US20181"|"US141"|"Salina - Ks"
"US"|"US20183"|"US141"|"Salina - Ks"
"US"|"US20185"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20187"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20189"|"US119"|"Oklahoma City-Shawnee - Ok"
"US"|"US20191"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20193"|"US141"|"Salina - Ks"
"US"|"US20195"|"US141"|"Salina - Ks"
"US"|"US20197"|"US167"|"Topeka - Ks"
"US"|"US20199"|"US141"|"Salina - Ks"
"US"|"US20201"|"US167"|"Topeka - Ks"
"US"|"US20203"|"US179"|"Wichita-Winfield - Ks"
"US"|"US20205"|"US083"|"Joplin - Mo"
"US"|"US20207"|"US083"|"Joplin - Mo"
"US"|"US20209"|"US084"|"Kansas City-Overland Park-Kansas City - Mo-Ks"
"US"|"US21001"|"US098"|"Louisville-Elizabethtown-Scottsburg - Ky-In"
"US"|"US21003"|"US116"|"Nashville-Davidson-Murfreesboro-Columbia - Tn"
"US"|"US21005"|"US094"|"Lexington-Fayette-Frankfort-Richmond - Ky"
"US"|"US21007"|"US122"|"Paducah - Ky-Il"
"US"|"US21009"|"US116"|"Nashville-Davidson-Murfreesboro-Columbia - Tn"
